100 10000
A 89 91
A 16 87
A 21 41
B 84 30
A 4 50
A 63 29
B 6 31
B 44 75
B 84 40
A 15 16
A 5 41
A 44 68
A 9 98
B 13 94
A 8 57
A 50 39
B 96 77
A 2 76
B 84 28
A 30 20
B 63 58
B 78 9
B 25 42
B 4 40
B 49 69
A 89 37
B 33 17
B 38 68
B 8 1
B 47 95
B 15 44
A 2 87
B 7 80
B 98 21
B 12 62
B 44 10
B 46 23
A 44 47
A 87 91
B 18 23
B 100 26
B 31 19
B 99 39
A 18 56
A 71 81
A 99 74
B 27 91
B 10 31
B 41 24
A 26 3
A 24 35
B 3 33
B 78 74
B 82 79
A 61 48
A 32 7
B 84 98
B 94 35
B 40 73
A 39 69
A 53 29
A 18 20
B 7 44
B 75 31
B 71 70
B 74 3
A 23 78
B 66 69
B 98 39
A 2 88
B 20 78
B 67 72
B 2 66
B 18 31
A 77 8
A 44 48
A 74 14
B 61 68
A 80 91
A 22 6
A 48 21
B 73 15
B 85 6
B 27 84
A 53 34
A 61 94
A 73 20
B 57 58
A 95 37
A 33 89
B 91 38
A 20 77
A 30 38
A 27 76
A 82 18
A 71 76
B 3 12
A 36 6
B 82 83
A 28 27
A 30 37
A 63 96
B 26 86
B 55 73
B 32 42
A 36 93
B 31 9
B 5 31
B 71 70
B 15 25
A 20 54
B 59 40
B 64 61
A 90 51
B 52 54
A 70 28
B 96 24
B 35 33
B 60 20
B 92 62
A 57 50
A 97 86
B 88 41
B 58 72
A 25 85
A 90 58
A 12 34
A 18 22
B 10 83
B 37 77
A 74 51
B 61 58
B 28 32
A 44 23
B 35 30
B 91 98
A 26 13
A 13 11
B 4 88
B 52 9
A 93 55
A 54 78
A 94 83
B 80 63
A 30 29
B 63 7
B 9 34
A 10 83
A 9 21
A 6 90
B 40 8
A 14 46
A 4 62
A 45 95
B 71 8
B 55 70
A 53 18
B 9 8
B 84 37
A 50 60
A 19 90
A 3 12
A 60 84
B 9 26
B 40 55
B 86 11
B 80 6
B 57 50
A 22 75
B 26 9
A 13 48
A 5 25
A 59 23
B 12 84
A 3 83
B 63 40
B 41 49
B 81 73
A 26 12
A 74 20
A 36 17
A 22 86
B 52 80
B 66 11
B 98 69
B 99 68
A 64 3
B 83 17
B 4 20
B 85 47
B 69 6
A 8 72
B 48 27
A 15 75
A 58 37
B 50 86
B 36 35
A 87 50
B 87 8
A 97 77
A 12 35
B 90 27
B 7 51
B 30 98
A 34 59
B 31 95
A 36 63
B 72 32
A 29 5
A 93 41
B 52 74
B 25 50
A 41 66
B 48 49
B 25 7
A 77 14
A 92 56
A 14 57
B 41 87
B 22 68
B 11 100
A 34 68
A 12 34
B 50 85
A 51 56
B 68 99
A 94 52
B 76 37
B 94 22
B 74 94
A 46 83
B 61 64
A 22 80
B 72 55
A 38 30
A 68 33
A 61 57
B 57 40
B 47 91
B 54 16
B 13 37
A 77 69
A 44 61
A 9 97
A 27 4
A 28 90
A 7 94
A 37 73
B 63 59
A 67 50
A 79 6
A 21 97
B 97 95
B 29 14
B 91 9
A 39 67
A 93 53
B 20 88
B 74 51
B 79 14
A 26 47
B 85 87
A 71 64
A 35 60
A 61 13
A 29 88
B 1 74
A 9 37
A 78 34
B 62 32
A 48 99
A 21 5
A 43 98
A 89 9
A 59 74
A 46 79
A 19 63
B 80 66
B 5 28
B 64 7
A 20 70
A 50 21
B 84 63
A 70 89
B 99 83
A 96 65
B 61 55
A 11 1
A 72 93
B 16 77
B 60 20
A 92 93
B 66 72
A 42 33
A 51 68
A 51 45
A 98 3
B 29 91
A 44 7
A 100 37
B 79 82
B 31 95
A 2 81
B 57 20
B 35 24
A 97 31
B 13 49
A 77 47
A 89 26
A 75 31
A 91 75
B 75 94
A 37 2
B 12 11
B 85 77
B 89 49
A 41 66
A 91 57
B 58 82
B 20 18
A 66 44
B 86 18
B 72 63
B 33 32
A 31 60
B 41 22
B 99 8
A 70 32
A 57 82
B 97 24
B 11 9
A 7 37
B 92 39
B 9 20
B 99 16
B 33 28
B 8 10
B 89 23
B 27 60
A 79 5
A 14 74
B 67 50
B 88 49
A 47 48
B 91 2
A 96 14
A 15 64
A 39 58
B 83 58
B 88 71
B 70 38
A 61 82
A 52 33
A 30 16
B 82 57
A 3 16
B 37 44
B 22 75
A 69 67
A 54 84
B 19 41
B 41 95
B 89 14
B 68 2
B 30 49
A 31 71
A 81 12
A 31 92
A 20 73
B 38 9
B 19 65
A 42 84
B 7 25
B 97 80
A 49 32
A 75 70
A 23 73
B 72 51
B 46 68
B 22 17
A 98 82
A 80 46
A 36 27
A 70 52
B 78 49
B 77 26
B 29 52
B 48 88
B 21 89
B 49 56
B 24 57
A 71 11
A 78 96
A 82 20
A 6 13
A 12 2
B 93 19
A 64 75
A 17 29
A 53 26
A 29 77
B 76 93
A 8 80
A 29 45
B 61 68
B 34 91
B 61 35
B 13 77
B 37 75
A 45 85
A 84 45
A 72 91
B 44 40
A 27 78
B 74 65
A 34 38
B 98 5
A 65 25
A 40 45
A 77 2
B 78 83
B 47 61
A 90 74
A 20 91
A 17 78
A 59 61
A 81 17
B 94 43
A 92 93
A 73 5
A 14 16
B 84 54
B 19 51
A 19 6
A 85 10
A 19 23
B 77 86
B 60 9
A 89 36
B 2 15
A 90 13
B 83 81
B 66 64
B 68 28
A 81 23
B 2 18
A 83 34
B 31 78
B 22 47
B 89 88
B 69 46
A 39 80
B 9 2
A 58 41
A 73 76
A 89 36
B 69 61
B 74 85
B 66 52
A 14 12
A 40 11
B 43 86
A 60 84
B 96 32
B 23 66
A 48 74
A 69 71
A 31 37
A 54 52
A 76 9
A 79 77
A 77 56
B 94 26
B 24 8
B 54 10
A 25 50
A 74 14
A 96 67
B 39 78
A 31 43
A 10 68
B 17 1
A 100 82
B 24 33
A 15 12
B 39 98
B 57 89
A 58 81
A 22 58
B 96 62
A 36 63
B 6 70
B 52 98
B 71 99
A 21 15
B 54 39
B 30 33
A 11 32
A 6 98
B 26 79
B 97 28
A 96 21
B 53 66
B 62 4
A 13 100
A 67 35
A 40 82
B 2 60
A 90 83
B 18 83
B 96 13
B 92 28
B 77 98
B 75 45
B 43 95
A 60 42
B 3 71
B 63 92
B 2 4
B 95 93
A 16 22
B 59 65
A 97 9
A 48 58
B 47 74
A 72 76
B 38 52
B 13 87
A 80 2
B 21 16
A 71 44
B 4 26
A 13 67
A 52 30
B 11 77
A 73 85
B 62 58
B 80 38
B 42 100
A 96 38
B 1 98
B 87 74
A 86 13
B 66 56
A 91 11
B 63 9
A 38 45
A 22 69
A 79 31
B 18 32
B 47 78
B 63 66
B 45 48
B 62 69
B 84 63
B 60 96
A 40 75
B 28 36
B 42 18
B 18 69
B 72 57
A 87 68
A 78 7
B 46 11
B 70 88
B 31 30
B 31 17
A 34 14
A 36 95
B 65 9
B 70 48
B 89 78
A 90 42
B 39 22
B 73 92
A 75 73
A 68 40
B 7 51
A 57 18
A 51 59
A 88 8
A 51 11
A 30 11
A 63 55
A 90 71
B 33 57
A 45 2
B 75 77
A 34 27
B 51 12
A 13 6
A 83 44
A 62 63
B 10 27
B 69 16
B 78 7
A 25 68
B 63 68
A 43 86
A 19 88
B 43 12
B 35 17
B 17 36
B 69 100
B 49 36
A 81 89
A 36 5
B 56 97
A 53 33
A 97 77
B 56 2
B 30 55
A 65 52
A 49 88
B 82 81
A 45 47
A 60 17
A 92 7
B 87 72
B 66 67
B 80 86
A 11 44
B 61 3
A 24 6
A 71 48
B 98 9
B 98 53
A 7 15
B 57 67
B 23 60
A 47 71
B 15 65
B 38 92
A 21 68
B 40 79
A 79 46
B 23 38
A 25 56
B 40 23
B 65 90
A 75 36
A 97 42
B 5 65
A 43 86
B 93 86
A 74 55
A 10 7
A 48 91
B 96 65
B 52 31
A 72 77
B 95 12
A 38 47
A 70 41
B 75 48
A 56 32
B 36 84
A 40 2
B 37 48
A 93 96
A 54 97
B 21 7
B 45 68
B 41 37
A 4 38
A 89 76
A 64 19
B 37 8
A 36 79
A 34 40
A 76 67
A 27 8
B 24 80
A 97 17
A 45 40
B 3 15
B 99 35
B 92 27
A 24 1
A 77 87
B 29 58
A 95 39
B 63 90
A 58 87
A 84 39
A 15 7
A 64 78
A 33 56
B 97 86
B 67 70
B 28 86
B 21 98
A 54 13
B 48 92
A 33 46
A 6 34
B 10 89
B 23 18
B 17 49
A 95 29
B 2 95
B 31 92
A 71 41
A 43 2
B 11 12
A 38 59
B 33 39
A 59 98
B 74 79
B 8 55
A 89 3
B 50 33
A 89 74
A 52 32
A 71 51
A 21 98
B 7 9
A 14 18
B 45 52
B 73 33
A 67 16
A 40 47
A 1 72
B 35 46
B 66 40
A 20 76
B 25 26
B 51 98
B 4 73
B 28 10
A 58 98
B 82 40
A 13 64
B 40 59
B 45 83
B 24 84
B 9 45
B 88 51
B 52 22
A 10 43
B 69 96
B 1 19
B 69 66
B 4 86
A 72 4
A 91 78
B 83 70
B 38 61
B 9 17
B 73 36
A 25 23
A 15 30
B 3 72
A 17 29
B 75 20
B 24 50
A 45 86
A 69 33
A 46 5
A 88 81
B 81 74
A 29 48
B 15 62
A 95 22
A 50 19
B 97 2
B 21 8
A 26 63
B 28 30
B 17 66
B 13 37
B 38 73
A 66 16
A 86 44
A 53 93
B 17 86
A 75 27
B 97 3
A 67 25
B 51 21
B 47 66
B 61 26
B 40 62
B 32 92
B 65 49
B 74 66
A 49 12
A 65 51
B 1 3
A 93 41
A 53 92
B 65 10
B 43 69
B 69 84
A 92 100
B 23 84
B 49 30
A 8 87
A 46 39
B 45 23
A 80 100
A 7 32
B 1 97
B 17 44
A 2 8
A 48 61
B 60 4
B 11 51
B 2 17
A 68 82
B 66 58
A 94 51
A 34 98
B 15 56
B 51 54
A 44 45
B 18 28
A 3 61
B 99 92
B 29 18
A 93 79
A 59 81
B 28 16
B 71 90
A 89 26
A 6 21
A 74 37
B 45 63
A 96 13
B 37 85
B 98 23
A 20 26
B 82 86
A 56 27
B 82 83
B 11 37
A 61 83
A 31 3
A 37 32
B 43 74
A 52 36
B 19 47
B 3 78
A 92 53
A 34 99
B 35 97
A 52 99
B 8 89
B 30 81
B 7 69
B 79 76
A 74 46
B 37 48
A 94 39
B 81 17
A 37 7
B 28 2
B 10 17
A 21 64
B 30 27
A 33 19
B 20 70
B 84 16
B 28 13
A 53 5
B 78 83
A 100 40
B 75 61
B 87 93
B 50 5
A 58 28
A 17 30
B 36 37
B 80 81
B 76 58
B 61 56
A 61 91
B 87 25
B 62 15
A 21 6
B 70 72
B 11 2
A 22 40
A 51 58
A 2 79
B 97 2
B 52 55
B 34 20
A 66 47
A 71 80
B 73 39
B 40 66
B 51 44
B 57 16
A 36 92
A 86 4
A 14 64
A 4 87
B 76 77
A 55 57
A 75 31
A 82 7
B 27 57
A 70 68
A 63 66
A 98 22
B 66 39
A 6 20
B 88 40
A 7 16
A 27 33
B 23 52
A 14 57
B 51 19
A 38 26
B 100 9
B 6 86
B 28 59
B 9 2
B 73 72
A 17 99
A 92 74
A 47 82
A 25 6
B 99 23
A 13 3
A 16 44
A 57 95
A 90 65
B 78 77
A 11 71
B 88 89
B 71 28
A 73 51
B 75 1
B 88 19
A 47 56
A 35 56
B 29 24
B 23 28
B 38 50
B 89 50
B 25 100
A 92 64
B 37 78
A 80 37
A 16 45
B 54 77
A 25 22
B 13 8
B 45 47
A 7 79
A 94 89
B 95 17
A 38 83
A 27 93
B 75 31
A 19 13
B 13 75
B 39 63
A 11 97
B 62 46
B 79 65
A 99 52
A 76 57
B 32 82
A 62 56
B 92 89
A 5 33
A 68 28
B 99 85
A 98 95
B 85 67
A 98 13
B 58 81
A 51 57
B 18 73
B 69 24
A 21 71
A 34 73
B 85 80
A 45 42
A 84 96
A 28 40
A 17 38
B 14 74
A 22 95
B 77 8
A 34 85
A 71 31
A 46 7
A 71 60
A 6 42
B 32 39
A 39 65
B 8 70
A 44 33
A 34 51
B 74 35
A 45 65
A 54 12
B 90 34
A 90 59
B 12 65
A 62 78
B 66 89
A 58 54
B 60 24
A 42 66
A 100 2
B 100 45
A 53 32
A 67 94
B 83 63
A 79 69
B 69 29
A 7 56
B 97 72
B 49 38
B 100 55
B 79 42
B 33 45
B 61 76
A 37 20
B 11 69
A 80 52
B 25 44
A 20 92
A 80 11
A 20 8
B 28 67
A 51 10
B 21 100
B 11 23
B 92 48
A 29 6
A 48 12
B 84 71
B 87 14
B 19 34
A 94 75
A 74 45
B 75 71
B 15 18
B 5 40
B 51 74
A 10 3
B 7 96
B 86 45
B 16 83
A 50 95
A 9 70
B 72 99
A 31 48
A 32 35
B 56 49
A 63 43
B 16 39
B 47 42
B 36 97
B 47 85
A 97 7
A 67 95
B 54 65
A 28 95
A 52 96
B 75 18
B 11 17
B 81 34
A 17 50
A 32 71
A 70 36
B 63 7
B 8 82
A 49 23
B 13 26
A 84 33
A 38 82
A 82 47
B 53 75
A 85 98
A 48 39
B 33 19
A 8 16
A 24 94
A 59 34
A 61 53
B 92 38
A 4 14
B 61 4
B 96 63
B 44 94
B 55 91
B 39 7
A 63 78
A 40 51
B 7 83
B 56 10
B 85 4
A 6 25
A 50 53
B 86 24
B 10 51
A 97 58
B 43 59
B 31 94
B 98 36
A 32 76
B 45 29
B 99 96
A 33 70
B 65 74
A 33 98
B 93 19
A 83 23
A 90 81
A 100 8
B 75 1
A 78 12
A 48 51
A 77 26
B 55 3
B 42 76
B 24 16
B 72 7
A 82 69
B 17 93
B 33 66
B 87 45
A 77 72
A 49 4
A 54 84
A 95 20
B 87 90
B 64 95
B 24 6
A 28 21
B 90 16
A 82 15
B 48 17
B 79 24
B 56 29
B 27 54
B 38 79
A 63 19
A 65 59
B 67 90
A 43 86
A 20 56
A 6 49
A 44 12
A 67 34
A 29 13
A 53 48
B 30 18
B 48 27
B 18 48
A 30 57
A 54 29
A 1 85
B 8 47
A 87 44
B 69 82
B 87 78
A 13 23
B 76 53
A 68 61
B 14 60
A 17 70
A 50 33
B 36 27
A 26 27
B 34 57
B 93 96
B 55 99
B 9 57
A 14 24
B 91 47
B 26 69
B 42 77
B 54 3
B 40 84
A 43 68
B 34 8
A 11 99
A 25 3
B 84 89
A 75 19
A 63 73
A 52 40
B 34 92
B 50 63
B 5 50
A 73 40
B 28 70
B 26 17
A 51 92
A 76 18
A 23 22
B 69 84
B 11 78
B 87 85
B 73 6
A 23 12
B 8 5
B 65 18
A 38 18
B 54 50
A 23 69
B 19 25
B 80 71
A 54 30
A 28 45
B 35 12
B 91 11
B 72 73
B 75 100
A 57 84
A 8 57
A 59 10
B 34 80
B 83 85
A 39 6
A 28 33
A 19 6
B 37 29
B 84 62
A 81 39
A 12 100
B 76 92
B 56 64
A 39 18
B 16 6
B 96 69
A 85 51
A 85 3
A 53 86
B 88 14
B 25 41
B 92 80
B 36 100
A 5 86
B 29 75
B 36 46
B 19 27
A 11 42
B 32 85
B 49 9
A 78 22
A 51 62
B 82 54
B 42 49
A 10 8
B 25 69
A 82 6
B 22 5
B 97 52
A 96 30
B 76 21
A 58 14
A 48 57
B 31 88
A 27 93
A 7 76
B 39 2
A 86 29
A 43 30
A 52 64
B 74 61
B 45 11
A 91 14
B 81 47
A 97 52
B 27 78
B 50 26
A 36 58
A 59 29
B 55 90
A 34 55
B 70 71
B 80 60
A 25 60
A 65 78
B 56 11
A 22 35
B 42 68
A 5 47
A 62 66
A 86 23
A 85 19
B 21 72
B 48 34
A 68 16
A 60 23
A 18 29
A 98 57
A 91 10
A 82 65
A 92 71
A 51 84
A 30 28
B 86 37
B 43 96
B 21 28
B 57 53
B 76 2
B 97 33
A 92 25
B 31 73
B 22 71
B 99 96
B 81 94
B 44 3
B 10 55
B 95 92
A 26 100
B 56 83
A 66 60
A 74 96
B 17 86
B 37 40
A 54 22
A 11 10
B 35 25
A 33 69
B 49 13
B 44 6
A 82 33
B 88 62
A 25 31
A 62 72
B 1 82
A 32 29
A 25 23
B 11 66
B 50 78
B 68 20
B 60 11
A 5 71
A 35 34
A 73 25
B 28 6
A 53 4
B 71 92
B 35 26
A 55 75
A 86 28
A 65 49
A 49 14
B 95 31
A 88 41
A 97 8
B 4 15
A 65 20
A 20 90
A 93 38
A 56 50
A 49 78
B 47 75
A 66 57
A 46 80
A 71 33
B 55 95
A 12 3
B 57 41
A 82 58
A 93 50
A 61 97
B 12 75
B 82 13
A 100 88
B 85 18
A 16 99
B 83 59
A 56 28
B 98 1
A 4 22
A 77 22
A 17 95
B 26 19
B 64 93
A 78 51
B 55 61
A 52 32
B 45 60
A 40 22
A 51 27
B 34 73
B 45 88
B 3 48
A 58 2
B 78 60
B 28 90
B 69 84
B 21 46
A 96 83
A 18 40
A 51 21
A 4 58
B 74 4
A 64 57
A 73 17
B 69 47
A 1 31
B 28 50
B 61 69
B 54 72
B 80 7
A 75 95
B 4 62
A 91 79
A 64 58
B 50 44
B 26 89
A 28 30
A 45 47
A 85 40
B 47 15
A 73 39
B 33 86
A 41 19
A 71 39
B 46 30
B 61 46
A 31 3
B 85 48
B 39 16
A 47 24
B 6 40
A 98 23
A 81 15
A 50 91
A 82 5
A 16 56
B 11 12
B 55 3
A 70 13
A 76 92
A 34 69
A 19 75
B 81 72
A 31 6
B 90 13
A 9 22
A 80 11
B 14 50
B 8 74
B 79 47
B 79 5
A 66 98
A 41 31
A 6 98
A 95 66
B 79 76
B 5 28
A 24 68
A 6 89
B 5 53
B 86 4
B 98 42
B 10 26
A 95 57
A 33 29
B 67 95
A 32 92
A 49 93
B 26 58
B 74 33
A 77 68
A 85 36
A 93 56
B 60 61
B 7 53
A 76 58
A 35 85
A 3 52
A 10 88
A 92 50
A 21 30
B 96 20
B 14 19
A 8 18
A 70 45
B 84 44
A 29 38
B 72 1
B 46 50
A 59 71
A 81 50
A 28 23
A 57 96
B 87 78
A 32 96
B 82 6
A 46 97
B 39 32
B 67 74
A 96 43
A 56 26
A 94 81
A 90 58
A 94 17
A 16 23
A 83 11
A 68 27
B 51 67
B 55 56
A 13 62
A 82 15
A 70 90
B 87 61
B 48 53
A 31 91
A 15 95
A 53 90
B 7 21
A 17 78
B 91 75
A 79 18
A 13 98
A 89 13
B 59 35
A 53 23
A 93 62
B 68 73
A 61 24
B 42 2
A 53 54
B 6 63
B 41 18
A 75 15
A 3 24
B 30 83
A 63 7
A 26 39
A 85 79
A 24 74
A 84 18
A 79 26
A 89 14
B 71 69
B 86 44
B 61 32
B 61 78
A 41 36
A 43 94
B 92 17
A 25 68
B 20 44
A 9 50
B 44 91
B 35 14
B 88 49
B 13 38
B 63 5
B 37 14
B 39 11
B 45 90
B 43 32
B 89 26
B 23 49
B 13 34
A 14 89
A 17 44
B 37 61
B 59 47
A 11 17
A 26 67
B 34 85
A 25 39
A 16 41
A 89 11
B 70 46
B 36 1
B 16 87
A 10 47
A 62 69
B 3 63
B 75 43
A 51 29
A 75 95
A 18 24
A 78 31
B 92 93
B 28 80
A 32 73
B 24 6
A 56 89
B 3 11
B 99 87
B 28 29
B 79 25
B 78 33
A 65 6
B 32 38
B 80 87
A 64 12
B 94 78
A 62 60
A 76 29
B 40 15
A 13 87
B 30 86
B 36 61
A 1 55
B 53 32
B 32 66
A 84 64
A 91 76
A 91 78
B 40 28
A 61 49
A 51 9
B 50 72
A 26 82
A 65 70
B 37 92
B 51 13
B 25 33
A 58 49
B 44 90
A 30 71
A 76 28
B 71 82
B 8 80
A 45 72
A 46 89
A 3 2
A 93 66
A 23 15
B 73 61
B 28 71
A 61 80
A 76 50
A 36 88
A 17 76
A 13 21
B 15 84
A 90 97
A 41 5
B 46 2
B 89 77
B 88 96
A 64 41
B 82 78
B 52 31
B 97 52
A 96 24
A 15 96
A 53 9
A 47 12
B 81 77
A 72 81
A 51 95
B 83 76
A 24 73
A 3 21
A 14 51
A 38 40
B 76 2
B 51 30
A 5 62
B 57 89
A 70 71
B 38 63
A 15 88
B 70 60
B 83 65
B 85 97
A 98 59
A 34 84
B 69 98
A 94 34
B 9 5
B 66 65
A 2 8
A 94 3
B 68 77
A 1 20
A 41 8
B 31 19
A 93 27
B 73 90
B 37 12
B 31 51
A 15 67
B 67 3
B 61 64
B 93 52
B 19 90
A 51 47
A 7 89
A 60 30
A 63 67
A 98 85
A 35 89
B 55 72
A 59 61
A 23 1
B 72 39
A 83 80
B 94 61
B 76 50
A 95 88
A 9 25
A 40 72
A 82 11
B 24 13
B 14 51
A 31 82
A 51 79
A 19 90
B 63 42
A 88 72
B 18 17
B 37 15
B 62 22
B 66 25
B 73 53
A 50 70
A 17 57
A 99 96
A 11 36
A 4 90
B 52 4
B 9 63
B 62 90
A 88 85
B 67 10
A 26 69
A 60 44
B 24 28
B 96 43
A 83 89
A 75 92
A 14 18
B 50 39
A 60 54
A 62 42
A 90 94
A 97 44
A 94 17
A 95 5
A 98 21
A 84 47
A 81 25
A 93 1
A 36 4
B 37 68
B 53 98
A 25 31
A 95 86
B 32 20
A 61 36
B 10 62
B 45 72
B 4 81
A 65 71
A 84 20
A 72 13
B 68 17
B 34 17
B 61 99
B 28 11
B 14 77
A 82 90
B 41 9
B 18 96
A 65 14
B 29 74
A 17 47
B 52 10
B 52 49
A 16 97
B 30 32
A 13 33
A 91 18
B 65 7
B 98 85
B 46 47
B 27 41
B 15 88
B 3 86
A 51 22
B 18 38
A 12 33
B 34 96
A 54 13
A 33 43
B 2 95
A 85 71
B 41 99
A 39 22
A 100 32
A 16 73
B 63 29
B 32 64
B 73 87
B 39 76
B 53 72
B 11 51
B 17 95
B 79 98
B 87 2
A 39 57
B 69 77
A 49 42
A 37 65
A 91 6
A 41 94
B 87 82
A 17 74
B 30 17
A 92 43
A 14 81
A 6 86
A 7 85
B 81 32
A 77 26
A 13 51
A 80 1
A 7 50
A 63 70
B 52 15
B 53 7
B 45 42
A 33 49
A 93 52
A 18 58
A 97 15
B 61 52
B 49 96
B 44 60
B 55 14
A 51 13
B 87 23
A 91 46
B 42 32
B 82 42
B 7 47
B 70 83
B 18 8
B 88 14
B 62 69
B 67 9
A 40 29
B 19 26
A 74 94
A 66 42
B 15 64
A 81 94
A 55 82
A 51 100
A 61 43
A 99 80
A 48 20
B 86 55
A 59 29
A 11 60
A 76 18
A 32 60
B 97 22
B 34 5
A 23 2
A 22 11
B 90 26
B 91 17
B 4 36
B 95 46
A 64 44
A 95 45
A 31 66
B 19 53
A 33 80
B 76 84
A 36 91
B 18 68
A 54 13
A 83 72
A 58 39
A 46 60
A 100 16
A 15 87
B 51 72
A 95 83
B 24 4
B 4 60
A 32 89
A 94 67
B 58 60
B 43 13
A 18 50
B 92 59
B 31 51
A 2 65
B 82 72
A 91 50
B 5 72
B 52 77
B 9 98
B 79 66
B 24 12
B 36 71
A 84 28
A 30 86
A 95 97
A 61 87
B 70 4
B 63 80
B 2 74
A 38 32
A 39 68
A 84 97
A 4 13
A 12 23
B 42 79
A 76 56
A 12 53
B 22 39
A 66 8
B 62 42
A 14 45
B 80 44
A 93 76
A 14 86
A 32 27
B 7 85
A 60 17
A 2 88
A 9 94
A 43 28
B 54 30
A 88 31
A 29 57
A 11 25
B 14 64
B 33 14
A 59 76
A 77 40
B 3 17
A 29 47
A 94 47
A 95 86
A 50 34
A 72 12
A 38 75
B 37 35
A 28 33
A 39 28
A 31 32
A 14 62
B 17 27
A 92 9
A 30 81
A 8 53
B 68 99
A 50 38
A 65 27
A 40 91
B 7 19
A 47 76
B 87 18
A 98 42
B 10 45
A 44 21
B 25 11
A 15 34
A 1 79
A 74 48
A 38 48
A 84 66
B 89 1
B 82 92
A 5 29
A 27 24
A 88 26
A 42 76
B 29 38
A 92 41
A 47 62
B 11 33
A 88 18
A 99 89
A 41 79
A 9 60
A 34 35
A 5 37
B 32 55
A 73 37
A 40 39
B 4 41
A 59 45
A 91 29
B 25 57
B 65 41
A 76 17
B 41 36
B 52 24
B 73 6
A 75 96
A 55 89
B 4 95
B 9 85
B 33 87
A 49 71
B 63 35
B 34 48
B 16 76
A 3 38
A 94 31
A 99 35
B 70 20
B 53 42
A 33 35
B 53 27
B 40 7
A 89 32
A 5 62
A 73 36
B 38 93
A 94 7
A 77 72
A 87 36
A 21 14
B 41 27
B 36 8
B 15 82
B 24 74
B 43 74
A 84 56
B 30 10
A 74 5
B 40 8
A 49 67
B 30 35
A 6 58
A 71 37
A 20 6
A 34 33
B 79 76
A 89 11
B 10 96
B 38 6
A 65 45
A 88 58
B 13 10
B 24 94
A 28 9
A 86 57
A 61 35
B 4 30
A 15 57
A 9 56
B 73 91
A 84 28
B 72 97
A 64 45
A 24 44
B 63 87
A 61 55
B 4 69
A 36 65
B 75 50
A 74 64
B 6 46
A 23 42
A 57 68
A 9 70
A 76 69
B 72 71
A 11 20
B 35 51
A 34 73
B 91 31
B 78 99
A 84 40
B 86 54
A 31 76
B 61 92
B 47 33
B 77 36
